,Gebietsnummer,Anteil Deutsche Bevölkerung 2013,Anteil Nichtdeutsche EU Bevölkerung 2013,Anteil Nichtdeutsche nicht EU Bevölkerung 2013,Anteil Migrationshintergrund Bevölkerung 2013,Anteil Verheiratete Bevölkerung 2013,Anteil 18 - 24 Jährige Wahlberechtigte 2013,Anteil 25 - 34 Jährige Wahlberechtigte 2013,Anteil 35 - 44 Jährige Wahlberechtigte 2013,Anteil 45 - 59 Jährige Wahlberechtigte 2013,Anteil 60 Jährige und ältere Wahlberechtigte 2013,Anteil Einpersonenhaushalte 2013,Anteil Haushalte mit Kind(ern) 2013,SV-Beschäftigtendichte 2013,Arbeitslosendichte 2013,ALG II - Empfängerdichte 2013
10,3011,0.763238512035011,0.12691466083150998,0.109846827133479,0.32910284463895,0.277024070021882,0.104545454545455,0.316233766233766,0.168181818181818,0.20194805194805202,0.209090909090909,0.6917945296864579,0.108739159439626,0.531,0.026,0.028
11,3012,0.780650913954525,0.12349531876950501,0.0958537672759697,0.33794025858225607,0.26928221132412,0.131510416666667,0.29752604166666696,0.164713541666667,0.176432291666667,0.229817708333333,0.645851154833191,0.125748502994012,0.531,0.026,0.028
12,3013,0.7471884840305891,0.133603238866397,0.11920827710301402,0.36707152496626205,0.23121907332433603,0.132853403141361,0.338350785340314,0.160340314136126,0.180628272251309,0.18782722513089,0.7065446868402528,0.0823363828289937,0.531,0.026,0.028
13,3014,0.8075618031992242,0.120213281628696,0.0722249151720795,0.286960736791081,0.230731943771207,0.10254735467015,0.357282821685173,0.202482037883736,0.177008491182234,0.160679294578707,0.7121535181236669,0.0774697938877043,0.531,0.026,0.028
14,3015,0.6830466830466829,0.18058968058968106,0.136363636363636,0.444717444717445,0.27682227682227695,0.13355263157894698,0.26907894736842103,0.169078947368421,0.207236842105263,0.221052631578947,0.7003916449086159,0.08550913838120099,0.531,0.026,0.028
15,3016,0.7192825112107621,0.156053811659193,0.124663677130045,0.37219730941704,0.203139013452915,0.15425888665325302,0.412474849094567,0.15425888665325302,0.149564050972502,0.129443326626425,0.741841914430747,0.0652646845540246,0.531,0.026,0.028
16,3017,0.7527289985761749,0.15424774560987198,0.0930232558139535,0.348362600854295,0.267679164689131,0.0973574408901252,0.357440890125174,0.17663421418637,0.204450625869263,0.164116828929068,0.7116736990154708,0.0857946554149086,0.531,0.026,0.028
17,3018,0.700507614213198,0.16835871404399302,0.13113367174280902,0.42301184433164096,0.255499153976311,0.0963773069036227,0.38961038961039,0.196172248803828,0.16814764183185196,0.14969241285030802,0.659786476868327,0.11672597864768698,0.531,0.026,0.028
18,3019,0.73164918970448,0.162059103908484,0.10629170638703501,0.39084842707340295,0.30838894184938,0.0955459770114942,0.339798850574713,0.179597701149425,0.19971264367816102,0.18534482758620702,0.666919575113809,0.0925644916540212,0.531,0.026,0.028
19,3020,0.71828595672465,0.17479847263470497,0.10691557064064501,0.376325837929571,0.21977089520576998,0.129688493324857,0.425301970756516,0.17101080737444402,0.14431023521932598,0.129688493324857,0.7356544165054799,0.0631850419084462,0.531,0.026,0.028
20,3021,0.761988561372635,0.153101627804663,0.0849098108227013,0.345798504179498,0.289485261768588,0.0659547738693467,0.29773869346733695,0.164572864321608,0.21105527638191,0.26067839195979897,0.691390728476821,0.0814569536423841,0.531,0.026,0.028
21,3022,0.613669590643275,0.235380116959064,0.150950292397661,0.475146198830409,0.265350877192982,0.131510416666667,0.3626302083333329,0.19921875,0.1796875,0.126953125,0.7009947337624339,0.07489760093622,0.531,0.026,0.028
22,3023,0.658901251738526,0.159944367176634,0.18115438108484,0.532684283727399,0.33936022253129305,0.0743745774171738,0.31981068289384695,0.25152129817444197,0.22515212981744398,0.129141311697093,0.4968421052631579,0.216140350877193,0.531,0.026,0.028
23,4001,0.664866949479368,0.19861164674122603,0.136521403779406,0.46895487851909007,0.333976089471654,0.115782664941785,0.293014230271669,0.122897800776197,0.17141009055627401,0.296895213454075,0.625240230621397,0.111467008327995,0.53,0.025,0.029
24,4002,0.68052696582956,0.17249897076986404,0.14697406340057598,0.437628653766982,0.33347056401811404,0.0850498338870432,0.25315614617940196,0.158139534883721,0.18936877076412,0.314285714285714,0.691007845503923,0.0832830416415208,0.53,0.025,0.029
25,4003,0.746744499326448,0.149528513695555,0.103726986977997,0.386618769645263,0.33228558599012104,0.0922459893048128,0.228609625668449,0.141042780748663,0.19652406417112303,0.34157754010695196,0.627046263345196,0.114590747330961,0.53,0.025,0.029
26,4004,0.710313901345292,0.16771300448430498,0.121973094170404,0.433183856502242,0.302690582959641,0.0650519031141868,0.25397923875432504,0.143944636678201,0.202076124567474,0.334948096885813,0.6680412371134019,0.0900343642611684,0.53,0.025,0.029
27,4005,0.762376237623762,0.12673267326732698,0.11089108910891099,0.368811881188119,0.290594059405941,0.0796841349605169,0.20818377602297197,0.157214644651831,0.164393395549174,0.390524048815506,0.578350515463918,0.13402061855670097,0.53,0.025,0.029
28,4006,0.688114754098361,0.175,0.136885245901639,0.422540983606557,0.3,0.0923379174852652,0.270464963981663,0.14669286182056301,0.142108709888671,0.348395546823838,0.666446062210457,0.0986101919258769,0.53,0.025,0.029
29,4007,0.8072866730584849,0.121284755512943,0.0714285714285714,0.293863854266539,0.338446788111218,0.0710900473933649,0.22477995937711603,0.16316858496953301,0.21868652674339897,0.322274881516588,0.592885375494071,0.126482213438735,0.53,0.025,0.029
